"ID","SiteName","Region","Location","Latitude","Longitude","Period","PotteryType","PotteryPhase","N","Notes","O.sativa.abundance","O.sativa.proportion","O.sativa.presence","P.miliaceum.abundance","P.miliaceum.proportion","P.miliaceum.presence","S.italica.abundance","S.italica.proportion","S.italica.presence","Millets.abundance","Millets.presence"
142,"Gokanmori","Tokai","Toyohashi City",34.69054,137.349434,"Early Yayoi - Middle Yayoi","Jokonmon",NA,3655,"Total number of pottery observed ; Counts: 3655",1,0.00027359781121751,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
143,"Asodaohashi","Tokai","Toyokawa City",34.838323,137.339823,"Early Yayoi - Middle Yayoi","Jokonmon",NA,234,"Total number of pottery observed ; Counts: 234",0,0,FALSE,1,0.00427350427350427,TRUE,2,0.00854700854700855,TRUE,3,TRUE
144,"Tonohata","Tokai","Hamamatsu City",34.797947,137.583922,"Early Yayoi - Middle Yayoi","Jokonmon",NA,362,"NA ; Counts: 362",0,0,FALSE,2,0.00552486187845304,TRUE,2,0.00552486187845304,TRUE,4,TRUE
145,"Shibusawa","Tokai","Fujinomiya City",35.218407,138.615691,"Early Yayoi - Middle Yayoi","Jokonmon",NA,426,"NA ; Counts: 426",3,0.00704225352112676,TRUE,11,0.0258215962441315,TRUE,11,0.0258215962441315,TRUE,22,TRUE
146,"Nishishiga","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi","Jokonmon",NA,20819,"Total number of pottery observed ; Counts: 20819",6,0.000288198280416927,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
147,"Hirasawadomei","Kanto","Hadano City",35.373145,139.27351,"Early Yayoi","Jokonmon",NA,100,"NA ; Counts: 100",0,0,FALSE,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE
148,"Hirasawadomei","Kanto","Hadano City",35.373145,139.27351,"Early Yayoi","Jokonmon",NA,2,"NA ; Counts: 2",1,0.5,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
149,"Nakayashiki","Kanto","Ashigarakami Gun, Oi Machi",35.315515,139.154912,"Early Yayoi - Middle Yayoi","Jokonmon",NA,NA,"NA ; Counts: no data",0,NA,FALSE,21,NA,TRUE,15,NA,TRUE,36,TRUE
150,"Oki II","Central Highlands","Fujioka City",36.245789,139.064132,"Early Yayoi - Middle Yayoi","Jokonmon","Oki II",2580,"NA ; Counts: 2580",1,0.000387596899224806,TRUE,13,0.00503875968992248,TRUE,8,0.00310077519379845,TRUE,21,TRUE
151,"Uwahitomi","Central Highlands","Annaka City",36.328684,138.89695,"First half of Middle Yayoi","Jokonmon",NA,154,"NA ; Counts: 154",0,0,FALSE,2,0.012987012987013,TRUE,3,0.0194805194805195,TRUE,5,TRUE
152,"Nakazatohara","Central Highlands","Tomioka City",36.258112,138.900904,"First half of Middle Yayoi","Jokonmon","Oki II",4,"NA ; Counts: 4",0,0,FALSE,17,4.25,TRUE,6,1.5,TRUE,23,TRUE
153,"Nanokaichikannonmae","Central Highlands","Tomioka City",36.258112,138.900904,"First half of Middle Yayoi",NA,NA,15,"NA ; Counts: 15",0,0,FALSE,8,0.533333333333333,TRUE,10,0.666666666666667,TRUE,18,TRUE
154,"Tengumori midden","Northern Tohoku","Misawa City",40.695283,141.390516,"Early Yayoi",NA,"Sunazawa",1,"NA ; Counts: 1",1,1,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
155,"Sunazawa","Northern Tohoku","Hirosaki City",40.595644,140.478415,"Early Yayoi",NA,"Sunazawa",713,"NA ; Counts: 713",5,0.00701262272089762,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
156,"Jizoden","Northern Tohoku","Akita City",39.675183,140.14888,"Early Yayoi",NA,"Parallel to Sunazawa",2,"NA ; Counts: 2",1,0.5,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
157,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi",NA,NA,11676,"Total number of pottery observed ; Counts: 11676",1,8.56457690990065e-05,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
158,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi - Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,1,NA,TRUE,1,TRUE
159,"Nishishiga","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi - Middle Yayoi",NA,NA,20819,"NA ; Counts: 20819",21,0.00100869398145924,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
160,"Usagi II","Northern Tohoku","Oshu City",39.149182,141.149266,"Early Yayoi - Middle Yayoi",NA,NA,NA,"I could not find the data of this site. ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
161,"Daikojishinjo","Northern Tohoku","Hirakawa City",40.582458,140.572701,"Middle Yayoi",NA,NA,13140,"NA ; Counts: 13140",1,7.6103500761035e-05,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
162,"Izawa","Northern Tohoku","Hirakawa City",40.582458,140.572701,"Middle Yayoi",NA,NA,368,"NA ; Counts: 368",1,0.00271739130434783,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
163,"Komadomari","Northern Tohoku","Hirakawa City",40.582458,140.572701,"Middle Yayoi",NA,NA,3597,"NA ; Counts: 3597",1,0.000278009452321379,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
164,"Kotoge","Northern Tohoku","Hachinohe City",40.524572,141.507826,"Early Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
165,"Hatauchi","Northern Tohoku","Hachinohe City",40.524572,141.507826,"Early Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
166,"Matsunagane","Northern Tohoku","Hachinohe City",40.524572,141.507826,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",4,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
167,"Babano II","Northern Tohoku","Kunohe Gun, Karumai Machi",40.313514,141.513249,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
168,"Nakazaikeminami","Southern Tohoku","Sendai City",38.26889,140.87194,"Middle Yayoi",NA,NA,291,"NA ; Counts: 291",0,0,FALSE,0,0,FALSE,2,0.00687285223367698,TRUE,2,TRUE
169,"Takada B","Southern Tohoku","Sendai City",38.26889,140.87194,"Middle Yayoi",NA,NA,543,"NA ; Counts: 543",4,0.00736648250460405,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
170,"Odaira-goseki","Southern Tohoku","Fukushima City",37.759073,140.383136,"Early Yayoi",NA,NA,389,"NA ; Counts: 389",0,0,FALSE,0,0,FALSE,1,0.0025706940874036,TRUE,1,TRUE
171,"Emata","Southern Tohoku","Yamagata City",38.24056,140.36333,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
