Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC099,ASA,ASA097IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,24,-29.512,-29.698,-0.186,no,no,yes,76.7,,no,no ,,no,no,no,1.14,no,
ENC100,ASA,ASA098IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Jar,ceramic powder,6,-29.541,-29.606,-0.065,no,no,no,,,no,no ,,no,no,no,1.07,no,
ENC101,ASA,ASA099IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Jar,ceramic powder,19,-29.473,-29.789,-0.316,no,no,no,,,no,no ,,no,no,no,0.72,no,
ENC102,ASA,ASA100IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Jar,ceramic powder,4,-29.627,-29.833,-0.206,no,no,no,,,no,no ,,no,no,no,,no,
ENC103,ASA,ASA101IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Bowl,ceramic powder,15,-29.15,-29.18,-0.03,no,no,no,,,no,no ,,no,no,no,1.05,no,
ENC104,ASA,ASA102IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,5,-29.285,-29.576,-0.291,no,no,no,,,no,no ,,no,no,no,,no,
ENC105,ASA,ASA103IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,30,-29.91,-30.038,-0.128,no,no,no,,,no,no ,,no,no,no,1.30,no,
ENC106,ASA,ASA104IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,31,-29.718,-29.556,0.162,no,no,no,,,no,no ,,no,no,no,0.92,yes,yes
ENC107,ASA,ASA105IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,265,-26.157,-25.693,0.464,yes,no,no,,5.5,yes,yes,,no,no,no,0.99,yes,yes
ENC108,ASA,ASA106IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Jar,ceramic powder,66,-30.029,-29.933,0.096,no,no,no,,,no,no ,,no,no,no,1.03,no,
ENC109,ASA,ASA107IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Cooking vessel,ceramic powder,24,-29.446,-29.77,-0.324,no,no,no,,,no,no ,,no,no,no,1.04,no,yes
ENC110,ASA,ASA108IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Early Yayoi (I),,,Ongagawa,Bowl,ceramic powder,36,-28.884,-28.295,0.589,no,no,no,,,no,no ,,no,no,no,1.28,no,yes
ENC111,NKY,NKY01IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,10,,,,no,yes,no,,,no,no ,,no,no,no,1.14,,
ENC112,NKY,NKY02IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,5,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC113,NKY,NKY03IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,18,-29.505,-29.294,0.211,no,no,no,,,no,no ,,no,no,no,0.98,,
ENC114,NKY,NKY04IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,1,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC115,NKY,NKY05IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,16,-29.194,-29.11,0.084,no,no,no,,,no,no ,,no,no,no,1.17,,
ENC116,NKY,NKY06IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,39,-29.239,-29.19,0.049,no,no,no,,,no,no ,,no,no,no,1.23,,
ENC117,NKY,NKY07IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,43,-29.253,-29.257,-0.004,no,no,no,,3.5,yes,no ,0.285,yes,yes,no,0.48,,
ENC118,NKY,NKY08IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,45,-27.727,-28.485,-0.758,no,no,yes,71.9,,no,no ,,no,no,no,0.48,,
ENC119,NKY,NKY09IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,9,-28.976,-28.942,0.034,no,yes,no,,,no,no ,,no,no,no,1.09,,
ENC120,NKY,NKY10IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,28,-29.74,-29.591,0.149,no,no,no,,,no,no ,,no,no,no,1.22,,
ENC121,NKY,NKY11IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,30,-27.217,-29.499,-2.282,no,no,yes,66.7,,no,no ,,no,no,no,0.32,,
ENC122,NKY,NKY12IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,17,-29.272,-29.362,-0.09,no,no,no,,,no,no ,,no,no,no,1.23,,
ENC123,NKY,NKY13IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,68,-26.873,-26.642,0.231,no,no,no,,,no,no ,,no,no,no,0.26,,
ENC124,NKY,NKY14IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,37,-29.353,-29.658,-0.305,no,no,no,,,no,no ,,no,no,no,1.31,,
ENC125,NKY,NKY15IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,6,-28.583,-28.323,0.26,no,yes,no,,,no,no ,,no,no,no,1.19,,
ENC126,NKY,NKY16IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,3,,,,no,yes,no,,,no,no ,,no,no,no,,,
ENC127,NKY,NKY17IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,9,,,,no,no,no,,,no,no ,,no,no,no,1.20,,
ENC128,NKY,NKY18IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,5,,,,no,yes,no,,,no,no ,,no,no,no,1.20,,
ENC129,NKY,NKY19IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC130,NKY,NKY20IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,7,,,,no,no,no,,,no,no ,,no,no,no,0.80,,
ENC131,NKY,NKY21IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,14,-28.295,-28.35,-0.055,no,yes,no,,,no,no ,,no,no,no,1.28,,
ENC132,NKY,NKY22IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,4,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC133,NKY,NKY23IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,4,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC134,NKY,NKY24IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,6,-28.734,-28.914,-0.18,no,yes,no,,,no,no ,,no,no,no,0.77,,
ENC135,NKY,NKY25IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,28,-29.197,-28.903,0.294,no,no,no,,,no,no ,,no,no,no,1.40,,
ENC136,NKY,NKY26IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,16,-29.077,-28.747,0.33,no,no,no,,,no,no ,,no,no,no,0.93,,
ENC137,NKY,NKY27IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,23,-28.871,-28.846,0.025,no,yes,no,,,no,no ,,no,no,no,1.44,,
ENC138,NKY,NKY28IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,9,-28.985,-28.997,-0.012,no,no,no,,,no,no ,,no,no,no,0.82,,
ENC139,NKY,NKY29IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,20,-29.76,-29.387,0.373,no,no,no,,,no,no ,,no,no,no,1.03,,
ENC140,NKY,NKY30IAE,Nakaya,Chubu,Central Highlands,no,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,,,,Cooking vessel,ceramic powder,12,-29.205,-29.25,-0.045,no,no,no,,,no,no ,,no,no,no,1.12,,
ENC141,NMC,NMC01IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,59,-27.475,-31.128,-3.653,no,no,yes,66.8,,no,no ,,no,no,no,0.32,,
ENC142,NMC,NMC02IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,33,-26.061,-28.98,-2.919,no,no,no,,,no,no ,,no,no,no,0.84,,
ENC143,NMC,NMC03IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,11,-29.403,-28.877,0.526,yes,no,no,,,no,no ,,no,no,no,0.91,,
ENC144,NMC,NMC04IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,10,-29.069,-28.856,0.213,no,no,no,,,no,no ,,no,no,no,0.99,,
ENC145,NMC,NMC05IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,7,-27.879,-28.534,-0.655,no,yes,no,,,no,no ,,no,no,no,0.83,,
ENC146,NMC,NMC06IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,61,-26.366,-26.701,-0.335,no,no,no,,8.9,yes,yes,,no,no,no,0.91,,
ENC147,NMC,NMC07IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,9,-29.442,-29.142,0.3,no,no,no,,,no,no ,,no,no,no,1.13,,
ENC148,NMC,NMC08IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,76,-26.954,-29.941,-2.987,no,no,yes,71.0,,no,no ,,no,no,no,0.52,,
ENC149,NMC,NMC09IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,8,,,,no,no,yes,66.3,,no,no ,,no,no,no,0.41,,
ENC150,NMC,NMC10IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,128,-28.88,-29.314,-0.434,no,no,no,,,no,no ,,no,no,no,0.90,,
ENC151,NMC,NMC11IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC152,NMC,NMC12IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,191,-23.208,-25.533,-2.325,no,no,yes,84.4,6.8,yes,yes,,no,no,no,2.06,,
ENC153,NMC,NMC13IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,4,-28.511,-28.611,-0.1,no,no,no,,,no,no ,,no,no,no,,,
ENC154,NMC,NMC14IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,6,-29.532,-29.52,0.012,no,no,no,,,no,no ,,no,no,no,0.99,,
ENC155,NMC,NMC15IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,31,,,,no,no,no,,,no,no ,,no,no,no,1.39,,
ENC156,NMC,NMC16IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC157,NMC,NMC17IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,5,,,,no,no,no,,,no,no ,,no,no,no,1.01,,
ENC158,NMC,NMC18IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,4,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC159,NMC,NMC19IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,467,-25.577,-28.1,-2.523,no,no,yes,56.2,5.2,yes,yes,,no,no,no,2.38,,
ENC160,NMC,NMC20IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC161,NMC,NMC21IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,16,-27.613,-28.255,-0.642,no,yes,yes,77.3,,no,no ,,no,no,no,0.43,,
ENC162,NMC,NMC22IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,yes,,,no,no ,,no,no,no,,,
ENC163,NMC,NMC23IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,726,-27.204,-26.55,0.654,no,no,no,,,no,no ,,no,no,no,0.46,,
ENC164,NMC,NMC24IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,10,,,,no,yes,no,,,no,no ,,no,no,no,2.39,,
ENC165,NMC,NMC25IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,1,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC166,NMC,NMC26IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,6,,,,no,no,no,,,no,no ,,no,no,no,0.84,,
ENC167,NMC,NMC27IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,yes,,,
ENC168,NMC,NMC28IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,5,,,,no,no,no,,,no,no ,,no,no,no,1.00,,
ENC169,NMC,NMC29IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,28,-27.377,-27.839,-0.462,no,no,yes,100.0,8.4,yes,yes,,no,no,yes,1.98,,
ENC170,NMC,NMC30IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC171,TSJ,TSJ01IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1641,-27.404,-29.078,-1.674,no,no,yes,71.5,,no,no ,,no,no,yes,0.69,,
ENC172,TSJ,TSJ02IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2217,-27.295,-29.682,-2.387,yes,no,yes,71.0,8.6,yes,yes,0.063,yes,yes,yes,0.84,,
ENC173,TSJ,TSJ03IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2347,-27.424,-29.708,-2.284,yes,no,yes,71.2,5.3,yes,yes,,no,no,yes,0.83,,
ENC174,TSJ,TSJ04IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2733,-28.247,-31.266,-3.019,no,no,yes,71.5,3.3,yes,no ,,no,no,no,0.50,,
ENC175,TSJ,TSJ05IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3353,-27.229,-29.15,-1.921,no,no,yes,70.9,7.4,yes,yes,0.041,yes,no,no,1.14,,
ENC176,TSJ,TSJ06IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1837,-27.599,-30.05,-2.451,no,no,yes,67.2,,no,no ,,no,no,yes,0.86,,
ENC177,TSJ,TSJ07IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3374,-27.228,-29.412,-2.184,no,no,yes,70.8,,no,no ,,no,no,yes,0.55,,
ENC178,TSJ,TSJ08IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1721,-26.764,-28.657,-1.893,no,no,yes,59.8,4.8,yes,no ,,no,no,no,0.59,,
ENC179,TSJ,TSJ09IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3657,-27.008,-29.272,-2.264,yes,yes,yes,64.1,6.9,yes,yes,0.117,yes,yes,yes,0.59,,
ENC180,TSJ,TSJ10IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,9825,-27.843,-30.573,-2.73,no,no,yes,53.6,2.4,yes,no ,0.043,yes,no,no,0.54,,
ENC181,TSJ,TSJ11IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2996,-27.028,-29.647,-2.619,yes,no,yes,58.1,5.4,yes,yes,0.065,yes,yes,no,0.88,,
ENC182,TSJ,TSJ12IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,4045,-27.332,-30.003,-2.671,yes,no,yes,61.4,5.0,yes,yes,0.078,yes,yes,no,0.53,,
ENC183,TSJ,TSJ13IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3306,-26.945,-29.59,-2.645,yes,no,yes,58.1,6.1,yes,yes,0.034,yes,no,no,0.74,,
ENC184,TSJ,TSJ14IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2912,-26.931,-29.508,-2.577,no?,no,yes,48.6,2.8,yes,no ,0.060,yes,yes,no,0.68,,
ENC185,TSJ,TSJ15IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1708,-26.888,-28.797,-1.909,no,no,no,,,no,no ,,no,no,yes,0.63,,
ENC342,ASA,ASA017FIAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,,,,,,foodcrust,,,,,yes,yes,yes,,,no,no ,,no,no,no,,No,
ENC488,MMZ,MMZ001I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,16,-27.731,-28.3,-0.569,yes,yes,yes,77.7,,no,no ,,no,no,no,1.58,,
ENC489,MMZ,MMZ002I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,17,-26.19,-27.803,-1.613,yes,yes,yes,60.4,,no,no ,,no,no,no,1.92,,
ENC490,MMZ,MMZ003I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,16,-26.501,-26.125,0.376,yes,yes,,54.5,,no,no ,,no,no,no,1.78,,
ENC491,MMZ,MMZ004I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,35,-25.301,-26.282,-0.981,yes,yes,yes,,,no,no ,,no,no,no,2.84,,
ENC492,MMZ,MMZ005I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,29,-28.109,-28.266,-0.157,yes,yes,no,75.6,,no,no ,,no,no,no,1.59,,
ENC493,MMZ,MMZ006I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,16,-27.081,-26.299,0.782,yes,yes,yes,,,no,no ,,no,no,no,1.83,,
ENC494,MMZ,MMZ007I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,78,-27.357,-28.626,-1.269,yes,yes,yes,82.8,,no,no ,,no,no,no,1.56,,
ENC495,MMZ,MMZ008I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,134,-21.985,-22.087,-0.102,yes,yes,yes,83.4,,no,no ,,no,no,no,3.40,,
ENC496,MMZ,MMZ009I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,78,-27.067,-27.488,-0.421,yes,yes,yes,84.7,,no,no ,,no,no,no,2.67,,
ENC497,MMZ,MMZ010I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,18,-28.916,-29.748,-0.832,yes,yes,yes,65.4,,no,no ,,no,no,no,9.11,,
ENC498,MMZ,MMZ011I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,24,-28.023,-28.789,-0.766,yes,yes,yes,75.4,,no,no ,0.234,yes,yes,no,1.44,,
ENC499,MMZ,MMZ012I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,51,-20.708,-23.193,-2.485,yes,yes,yes,84.3,4.5,yes,no ,,no,no,no,2.47,,
ENC500,MMZ,MMZ013I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,31,-28.834,-29.223,-0.389,yes,yes,yes,81.5,0.7,yes,no ,,no,no,no,1.77,,
ENC501,MMZ,MMZ014I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,45,-27.972,-29.026,-1.054,yes,yes,yes,78.6,2.8,yes,no ,,no,no,no,1.22,,
ENC502,MMZ,MMZ015I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,24,-27.85,-28.518,-0.668,yes,yes,yes,59.9,,no,no ,,no,no,no,1.69,,
ENC503,MMZ,MMZ016I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,21,-27.254,-28.67,-1.416,yes,yes,yes,54.6,,no,no ,,no,no,no,2.09,,
ENC504,MMZ,MMZ017I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,33,-30.505,-29.786,0.719,yes,yes,yes,71.3,,no,no ,,no,no,no,2.16,,
ENC505,MMZ,MMZ018I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,39,-29.064,-30.888,-1.824,yes,yes,yes,74.9,,no,no ,,no,no,no,1.10,,
ENC506,MMZ,MMZ019I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,27,-27.798,-29.019,-1.221,yes,yes,yes,51.3,,no,no ,,no,no,no,2.02,,
ENC507,MMZ,MMZ020I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,25,-27.314,-28.395,-1.081,yes,yes,yes,53.8,,no,no ,,no,no,no,1.81,,
ENC508,MMZ,MMZ021I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,85,-26.402,-28.131,-1.729,yes,yes,yes,84.7,5.9,yes,yes,,no,no,no,1.35,,
