Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC025,ASA,ASA023IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Bowl,ceramic powder,39,,,,no,,yes,80.0,,no,no ,,no,no,no,0.99,yes,yes
ENC026,ASA,ASA024IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,24,-20.529,-24.544,-4.015,no,no,yes,82.3,,no,no ,,no,no,no,1.82,yes,yes
ENC027,ASA,ASA025IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,9,-29.47,-29.46,0.01,no,no,yes,77.8,,no,no ,,no,no,no,0.62,no,
ENC028,ASA,ASA026IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC029,ASA,ASA027IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,5,-29.644,-29.395,0.249,no,no,no,,,no,no ,,no,no,no,,no,
ENC030,ASA,ASA028IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,24,-28.95,-31.49,-2.54,no,no,no,,6.8,yes,yes,,no,no,no,0.69,yes,yes
ENC031,ASA,ASA029IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,25,-29.865,-29.799,0.066,no,no,no,,,no,no ,,no,no,no,0.69,no,
ENC032,ASA,ASA030IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,7,-29.937,-29.649,0.288,no,no,no,,,no,no ,,no,no,no,0.68,no,yes
ENC033,ASA,ASA031IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,10,-26.755,-27.078,-0.323,no,yes,no,,4.0,yes,no ,0.219,yes,yes,no,1.20,no,
ENC034,ASA,ASA032IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,4,,,,no,no,yes,,,no,no ,,no,no,no,,no,
ENC035,ASA,ASA033IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Jokonmon,Cooking vessel,ceramic powder,30,-27.323,-29.438,-2.115,no,no,no,,,no,no ,,no,no,no,0.79,no,
ENC036,ASA,ASA034IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Bowl,ceramic powder,9,-27.988,-28.245,-0.257,no,no,no,,,no,no ,,no,no,no,1.29,no,
ENC037,ASA,ASA035IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,8,-29.881,-29.894,-0.013,no,no,no,,,no,no ,,no,no,no,0.56,no,
ENC038,ASA,ASA036IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Bowl,ceramic powder,23,-24.738,-26.002,-1.264,no,no,yes,80.7,,no,no ,,no,no,no,0.99,no,
ENC039,ASA,ASA037IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,12,-28.812,-29.211,-0.399,no,no,no,,,no,no ,,no,no,no,0.53,no,yes
ENC040,ASA,ASA038IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,148,-30.979,-34.054,-3.075,no,no,yes,77.1,1.4,yes,no ,,no,no,no,0.69,no,
ENC041,ASA,ASA039IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Bowl,ceramic powder,18,-29.908,-29.906,0.002,no,no,no,,,no,no ,,no,no,no,0.74,no,
ENC042,ASA,ASA040IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,7,-29.758,-29.74,0.018,no,no,no,,,no,no ,,no,no,no,0.58,no,
ENC043,ASA,ASA041IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,54,-26.298,-26.173,0.125,no,no,no,,,no,no ,,no,no,no,1.21,no,
ENC044,ASA,ASA042IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Cooking vessel,ceramic powder,23,-30.14,-29.813,0.327,no,no,no,,,no,no ,,no,no,no,0.81,no,
ENC045,ASA,ASA043IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,9,-29.652,-29.657,-0.005,no,no,no,,,no,no ,,no,no,no,0.76,no,
ENC046,ASA,ASA044IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,6,-29.589,-29.577,0.012,no,no,no,,,no,no ,,no,no,no,0.57,no,yes
ENC047,ASA,ASA045IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,4,,,,no,no,no,,,no,no ,,no,no,no,,no,
ENC048,ASA,ASA046IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,39,-30.317,-30.118,0.199,no,no,no,,,no,no ,,no,no,no,0.76,no,yes
ENC049,ASA,ASA047IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,37,-26.833,-26.82,0.013,no,no,yes,89.2,,no,no ,,no,no,no,2.02,no,yes
ENC050,ASA,ASA048IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Jar,ceramic powder,9,-28.863,-28.034,0.829,no,no,no,,,no,no ,,no,no,yes,1.49,no,yes
ENC051,ASA,ASA049IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,356,-26.791,-25.869,0.922,no,no,no,,,no,no ,,no,no,no,1.15,no,
ENC052,ASA,ASA050IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Bowl,ceramic powder,4,,,,no,no,yes,,,no,no ,,no,no,no,,no,
ENC053,ASA,ASA051IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,34,-28.384,-29.006,-0.622,no,no?,yes,65.8,,no,no ,,no,no,no,0.66,yes,yes
ENC054,ASA,ASA052IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,16,-28.205,-28.818,-0.613,no,no,yes,80.2,,no,no ,,no,no,no,0.78,no,yes
ENC055,ASA,ASA053IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,104,-26.551,-25.578,0.973,no,no,no,,,no,no ,,no,no,no,0.94,yes,yes
ENC056,ASA,ASA054IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Bowl,ceramic powder,51,-22.227,-27.954,-5.727,no,no,yes,78.4,,no,no ,,no,no,no,1.44,yes,yes
ENC057,ASA,ASA055IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,10,-28.555,-29.173,-0.618,no,yes,no,,,no,no ,,no,no,no,0.72,no,
ENC058,ASA,ASA056IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,43,-29.607,-29.451,0.156,no,no,yes,65.2,,no,no ,,no,no,no,0.91,yes,yes
ENC059,ASA,ASA057IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Jar,ceramic powder,25,-29.754,-29.576,0.178,no,no,no,,,no,no ,,no,no,no,0.69,no,yes
