"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"GaK-11769","B地区　層準E2　中部"
"GaK-11770","B地区　層準E2"
"GaK-11772","B地区　層準E2　上部"
"GaK-11775","B地区　層準E2"
"GaK-11776","B地区　層準E2"
"GaK-11777","B地区　層準E2　上部"
"GaK-11778","B地区　層準E2　中部"
"GaK-11779","B地区　層準E2　下部"
"GaK-11780","B地区　層準E1"
"Gak-11786","G地区,　M〜N180 地層B3(上部)"
"Gak-11787","G地区,　M〜N180 地層B3(上部)"
"Gak-11788","C地区,　L173 地層C(第1泥炭層)"
"Gak-11789","C地区,　M〜N190 地層C(第1泥炭層)"
"Gak-11790","C地区,　L201 地層C(第1泥炭層)"
"Gak-11791","C地区,　L201 地層C(第1泥炭層)"
"Gak-11792","C地区,　L185 地層C(第2第3泥炭間層)"
"Gak-11793","C地区,　L201 地層C(第2泥炭層)"
"Gak-11794","G地区,　M〜N180 地層C(第2泥炭層)"
"Gak-11795","H地区,　M201 地層C(第2泥炭層)"
"Gak-11796","H地区,　M201 地層C(第3泥炭層)"
"Gak-11797","C地区,　L210 地層C(第3泥炭層)"
"Gak-11798","G地区,　M〜N180 地層C(第3泥炭層)"
"Gak-11799","C地区,　L172 地層C(第3泥炭層)"
"Gak-11800","C地区,　L172 地層C(第3泥炭層)"
"Gak-11801","C地区,　K192 地層C(第2･第3泥炭間層)"
"Gak-11802","C地区,　L207 地層C(第2･第3泥炭間層)"
"Gak-11803","G地区,　N180 地層C(第3泥炭層)"
"Gak-11804","F地区,　O〜P165 地層C(第3泥炭層)"
"Gak-11805","C地区,　N〜S173 地層E(黒褐色シルト層)"
"Gak-11806","G地区,　N〜S141〜142 地層D(砂礫層)"
"Gak-11807","G地区,　Q〜R170  地層F2"
"Gak-11838","44-AL区ⅡY層上半部土壌"
"Gak-11839","44-AL区ⅡY層下半部土壌"
"Gak-11840","1号炭化物集中遺構3層土壌"
"Gak-11841","123号土坑1層土壌"
"Gak-11842","1号炭化物集中遺構"
"Gak-11843","1号炭化物集中遺構"
"Gak-11844","123号土坑"
"Gak-11845","1号竪穴状遺構"
"Gak-11846","7号焼土跡"
"Gak-11870","7号集石土坑"
"Gak-11873","30号集石土坑"
"Gak-11882","SX368"
"Gak-11883","SI571"
"GaK-11931","Ⅱa層"
"GaK-11932","Ⅱb層"
"GaK-11933","Ⅱb層"
"GaK-11934","Ⅱb層"
"GaK-11935","Ⅱb層"
"GaK-11936","Ⅱc層"
"GaK-11937","Ⅱc層"
"GaK-11938","Ⅱd層"
"GaK-11939","Ⅲb層　N-4･SK-1内"
"GaK-11940","Ⅳa層"
"GaK-11941","Ⅳd層"
"GaK-11942","Ⅱ層"
"Gak-11963","西山地区出土の方形竪穴住居の柱根片"
"Gak-11964","津田第Ⅱ地区出土の建造物部材の一部と考えられる埋没材の一片"
"Gak-11965","土壙138"
"Gak-11966","土壙185"
"Gak-11967","土壙224"
"Gak-11968","溝35"
"Gak-11969","溝36"
"GaK-12000","A 39"
"GaK-12001","B 16"
"GaK-12002","B 18"
"GaK-12003","B 26"
"GaK-12004","C 15"
"GaK-12005","C 25"
"GaK-12019","1号住居跡"
"GaK-12020","10号土坑"
"Gak-12028","Ⅱg60住"
"Gak-12029","Ⅱj39住"
"Gak-12030","Ⅲb63住"
"Gak-12031","Ⅲh34住"
"Gak-12032","Ⅱa75土坑"
"Gak-12033","Ⅱj60陥し穴"
"Gak-12034","Ⅲb62陥し穴"
"Gak-12036","Ⅰi40火葬墓"
"Gak-12037","Ⅰi39火葬墓"
"Gak-12039","Ⅰi40火葬墓-2"
"Gak-12044","ⅠC-4"
"Gak-12045","ⅠVG-7-27"
"Gak-12047","ⅥF-23-3"
"Gak-12048","ⅦF-18-1"
"Gak-12049","ⅦB-21-9"
"Gak-12050","ⅦA-16-21"
"Gak-12051","ⅥE-19-23"
"Gak-12052","ⅥF-13-20"
"Gak-12053","ⅤHⅠ-1"
"Gak-12054","ⅦD-24-NO.12"
"Gak-12055","ⅦF-NO.3"
"Gak-12056","ⅦF-22"
"Gak-12057","1号住居址　炉直上"
"Gak-12058","2号土坑　埋土下位〜床面"
"Gak-12059","3号土坑　床面"
"GaK-12085","A区1号炭焼窯"
"GaK-12086","B地点　SI-1炭焼窯"
"Gak-12087","4号住居址　床面"
"GaK-12087","B地点　SC-i　1号炭焼窯"
"Gak-12088","3号住居址　床面"
"Gak-12089","26号住居址　床面"
"Gak-12090","75号住居址　床上10cm"
"Gak-12091","1号井戸状遺構"
"Gak-12113","A地区,130ライン　地層C(第1･第2泥炭層)"
"Gak-12114","B地区,165ライン　地層C(第1泥炭層)"
"Gak-12115","B地区,165ライン　地層C(第2泥炭層)"
"Gak-12116","C地区,174ライン　地層C(第1泥炭層)"
"Gak-12117","C地区,174ライン　地層C(第2泥炭層)"
"Gak-12118","C地区,175ライン　地層C(第2泥炭層)"
"Gak-12120","C地区,175ライン　地層C(第1泥炭層)"
"Gak-12121","C地区,180ライン　地層C(第3泥炭層)"
"Gak-12122","C地区,180ライン　地層C(第1泥炭層)"
"Gak-12123","C地区,185ライン　地層B3相当層"
"Gak-12124","C地区,200ライン　地層C(第3泥炭層)"
"Gak-12125","C地区,200ライン　地層C(第1泥炭層)"
"Gak-12142","サンプル№1　MEJSK-13"
"Gak-12143","サンプル№2　MEJSK-14"
"GaK-12145","F層木材遺体層"
"GaK-12146","F層木材遺体層"
"GaK-12147","F層木材遺体層"
"GaK-12148","F層木材遺体層"
"GaK-12225","C地区　層準C0"
"Gak-12226","I地区,　N230〜235　地層C(第1･第2泥炭層)"
"Gak-12230","田端駅東方　地層C(第1〜3泥炭層上部)"
"Gak-12231","田端駅東方　地層C(第1〜3泥炭層上部)"
"Gak-12260","⑤層　中位"
"GaK-12268","③層　中位"
"GaK-12269","④層　中位"
"GaK-12271","⑤層　下位　丸木舟破片"
"GaK-12272","⑦層"
"GaK-12273","⑦層"
"GaK-12327","D地区　層準C1"
"GaK-12345","E地区　層準C2 　第1貝塚の第3貝層"
"GaK-12346","E地区　層準C2 　第1貝塚の第3貝層"
"Gak-12364","津田第Ⅱ地区出土のクスノキの根株"
"GaK-12393","E10"
"GaK-12394","E10"
"GaK-12395","E10　Ⅱ3"
"GaK-12396","G14pit"
"GaK-12397","F30"
"Gak-12412","E区　Pit2"
"Gak-12413","G10区　Pit21"
"Gak-12414","堀立柱建物3　Pit1"
"Gak-12415","E9区　Pit3"
"Gak-12416","土壙76"
"Gak-12417","土壙252"
"GaK-12432","台地南側斜面　5号横穴墓造付石棺内"
"Gak-12434","D4-51,53地点付近　暗灰色砂礫層(Ⅳ)"
"Gak-12441","J10-151,(W251) 37地点付近　暗灰色砂礫層(Ⅳ)"
"Gak-12452","N13-401 41地点付近　暗褐色砂礫層(Ⅳ)"
"Gak-12455","J13-2･3,34地点　黒褐色粘土層(Ⅲ〜Ⅴ)"
"Gak-12461","J13-O-11の㉑,34地点21試料　黒色粘土層(Ⅲ〜Ⅴ)"
"Gak-12469","L15-114,(W276)33地点付近　暗灰色砂礫層(Ⅳ)"
"Gak-12471","M15-160,(W279)33地点付近　暗灰色砂礫層(Ⅳ)"
"Gak-12472","I14-v-6②,31地点付近　黒褐色土層(Ⅲ)"
"Gak-12475","C3-j-15⑩,47地点付近　黒褐色粘土層(Ⅲ)"
"Gak-12476","C3-j-15⑫,47地点付近　黒色粘土層(Ⅲ)"
"Gak-12477","M13-g-9⑩,41地点付近　黒色年土層(Ⅲ)"
"Gak-12478","M13-g-9⑭,41地点付近　砂礫層(Ⅳ)"
"Gak-12579","29地点付近　黒色粘土、暗褐色砂礫(Ⅳ)"
"GaK-12585","不明"
"GaK-12586","不明"
"GaK-12587","不明"
"GaK-12588","不明"
"GaK-12589","不明"
"GaK-12590","不明"
"Gak-12663","14号住居址　床面直上"
"Gak-12664","3号住居址　床面"
"Gak-12665","7号土壙　6層"
"GaK-12675","Eトレンチ遺物包含層　自然流木"
"Gak-12678","ⅡF-1住居址"
"Gak-12679","ⅡF-5住居址"
"Gak-12680","ⅡF-1ピット"
"Gak-12681","Ⅹ区　第12号住居跡床"
"Gak-12683","Ⅸ区　第68号土坑　6層"
"Gak-12684","Ⅷ区　第2号住居跡"
"GaK-12694","SK07"
"GaK-12695","SK108"
"GaK-12697","no.35"
"GaK-12698","SK06"
"GaK-12699","SI105"
"GaK-12700","SK21"
"GaK-12701","SK56"
"Gak-12706","1号集石中央西寄り"
"Gak-12751","地表下約3.5mシルト質泥炭層"
"Gak-12752","地表下約2m　泥炭層最上部"
"Gak-12782","L14-265,(W284)　砂礫直上(Ⅳ)"
"GaK-12790","B谷西部(10地区)トレンチ　Loc.18 スコリア直下　a."
"GaK-12791","B谷西部(10地区)トレンチ　Loc.18 スコリア直下　b."
"GaK-12792","台地東部(7地区)　A-1-a."
"GaK-12793","台地東部(7地区)　A-1-b."
"GaK-12794","B-1-A."
"GaK-12797","Loc.14 Tr.E. Ⅴ層下部"
"GaK-12798","A谷南支谷部(2地区)Eトレンチ　Loc.14 Tr.E.　Ⅵ層最下部"
"GaK-12799","B谷東部(8地区)Bトレンチ　Loc.17 Tr.B. A."
"GaK-12800","Loc.17 Tr.B B."
"GaK-12801","Loc.17 Tr.M. 1."
"GaK-12802","Loc.17 Tr.M. 2."
"GaK-12803","A谷東支谷部(3地区)A2トレンチ　Loc.19 097, Tr.A2. Ⅵ層"
"GaK-12860","Ak-g直下(Ⅱ層下部)"
"GaK-12861","Ak-h直下(Ⅱ層下部)"
"GaK-12862","Ak-i直下(Ⅲ層上部)"
"GaK-12863","Ak-j直下(Ⅲ層中部)"
"GaK-12877","木本質泥炭(Ⅲ層下部)"
"Gak-13018","A地点"
"Gak-13019","A地点"
"Gak-13020","A地点"
"Gak-13055","SK182 覆土中炭化物含む"
"Gak-13111","第7号方形竪穴状遺構　覆土"
"Gak-13138","第3地点縄文時代後期遺物包含層"
"GaK-13142","第1号製鉄炉"
"GaK-13143","第14号土坑"
"Gak-13173","不明(Sample.1)"
"Gak-13174","不明(Sample.2)"
"Gak-13175","不明(Sample.3)"
"GaK-13176","第26号土壙　底面"
"GaK-13177","第8号竪穴住居跡"
"Gak-13186","Ka-1遺跡基盤層"
"Gak-13187","Ka-2　1号井戸　4層から7層"
"Gak-13188","20号土坑3層"
"Gak-13200","14号墳"
"Gak-13217","61B　河道財"
"Gak-13219","SD01　ヤナ材"
"Gak-13220","61B　SK22上"
"Gak-13238","Sq.E-5"
"Gak-13250","SK-136"
"Gak-13251","SK-136"
"GaK-13257","Sample No.8 Case 4. L-5"
"GaK-13259","Sample No.14 Case7. L-10　Ⅳc層"
"GaK-13260","Sample No.20 Case7. L-14　Ⅳi層"
"GaK-13264","B地区　層準E2"
"GaK-13265","B地区　層準C0"
"GaK-13267","A地区　層準A3 　22号集石の覆土"
"Gak-13338","ST-16柱"
"Gak-13345","A地点"
"Gak-13346","A地点"
"Gak-13370","Loc.1 14 C-A."
"Gak-13371","B谷西支谷部(903地区)Dトレンチ　Loc.1 14 C-B."
"Gak-13372","Loc.1 14 C-C"
"Gak-13373","Loc.1 14 C-D"
"Gak-13374","Loc.1 14 C-E"
"Gak-13376","B谷西支谷部(9-3地区)Dトレンチ　Loc.1 14 C-G"
"Gak-13403","黒灰色シルト質粘土層"
"GaK-13405","A地点　3層中位"
"Gak-13445","No.4(事務所裏　東)地点、地表下60〜64cm"
"Gak-13446","No.4(事務所裏　東)地点、地表下110〜120cm"
"Gak-13447","No.5(西谷)地点、地表下106〜114cm"
"Gak-13448","No.5(西谷)地点、地表下140〜146cm"
"Gak-13449","No.5(西谷)地点、地表下187〜192cm"
"Gak-13450","No.5(西谷)地点、地表下222〜229cm"
"GaK-13492","No.25トレンチ　Loc.2西壁溝5断面"
"GaK-13493","No.25トレンチ　Loc.1(標準土層)"
"GaK-13494","No.25トレンチ　Loc.1(標準土層)"
"GaK-13495","No.25トレンチ　Loc.1(標準土層)"
"GaK-13496","No.25トレンチ　Loc.1(標準土層)"
"Gak-13505","1号集石"
"Gak-13506","1号集石"
"Gak-13507","2号住居跡床面近く"
"GaK-13508","C地点断層谷(ST221)　埋土中Ⅱ層"
"GaK-13509","C地点断層谷(ST221)　埋土中Ⅲ層"
"GaK-13511","C地点断層谷(ST221)　埋土中Ⅴ層"
"GaK-13512","C地点断層谷(ST221)　埋土中Ⅸ層"
"GaK-13517","Ⅰ･Ⅱ区　C･D-7Grid　11a層水田跡大畦畔上樹木片集中地点"
"GaK-13518","Ⅱ区 B-4Grid 9a層　水田跡大畦"
"Gak-13519","62A"
"GaK-13521","テフラ降灰層準"
"GaK-13525","縄文時代後･晩期分析試料採取層準"
"GaK-13538","G-4-9 Ⅳc層"
"GaK-13539","L8-14 Ⅳc層"
"GaK-13540","L8-22 Ⅵa層"
"GaK-13542","F1-1"
"GaK-13544","F1-24"
"Gak-13617","7号木柱"
"Gak-13618","10号木柱"
"Gak-13619","木杭"
"Gak-13620","木杭"
"Gak-13621","木器"
"Gak-13622","L16Ⅴ層"
"Gak-13623","L16Ⅸ層, 木杭"
"Gak-13624","32号木柱"
"Gak-13625","石斧柄"
"Gak-13626","木弓"
"Gak-13627","木製浅鉢"
"GaK-13650","SK323 MD71グリッド(A区)　第3層流木"
"GaK-13651","SK323 MH71グリッド(A区)　第2-d層流木"
"GaK-13652","SL323　45ラインベルト　MB44グリッド(A区)　第6層流木"
"GaK-13653","SB171-7　柱(D区)"
"GaK-13654","SB171-13　柱(D区)"
"GaK-13655","SB174-5　柱(D区)"
"GaK-13656","SB174-10　柱(D区)"
"GaK-13657","SI69竪穴住居跡南壁壁溝内"
"GaK-13658","SB92建物跡炭化壁材"
"GaK-13659","SK101　土坑底面"
"GaK-13660","SK30　火山灰層の上"
"GaK-13661","SK30　火山灰層の下"
"Gak-13662","SK115"
"Gak-13663","SI108"
"Gak-13664","SN221"
"Gak-13665","SN223"
"Gak-13666","SN220"
"Gak-13667","SI01"
"GaK-13709","第9号土坑"
"GaK-13772","Ⅰ･Ⅱ区　16層　SI1-②"
"GaK-13775","Ⅰ･Ⅱ区　16層　SX2"
"GaK-13776","D区　Ⅺb層"
"GaK-13777","L区14"
"GaK-13778","B区　SI910　カマド内"
"GaK-13779","D区　SI948　床面"
"GaK-13780","D区　SI948　カマド内"
"GaK-13781","C区　SI946　pit13"
"GaK-13782","D区　Ⅷ層中"
"GaK-13783","D区　Ⅹ層中"
"GaK-13784","D区　Ⅺ層"
"GaK-13785","D区　Ⅺ層"
"GaK-13786","E区　ⅩⅤ層上面"
"GaK-13787","K区　8層"
"GaK-13788","L区　5a層"
"GaK-13789","K区　4層中"
"GaK-13790","K区　SD984　底面"
"GaK-13791","L区　SI992"
"GaK-13792","H区　SI1121　カマド内"
"GaK-13793","H(北)区　Ⅹ層"
"GaK-13794","H区 SI1121　北ソデ"
"GaK-13795","H区 SI1121　南ソデ"
"GaK-13796","G区　Ⅲ層"
"GaK-13797","I区　Ⅺb層"
"GaK-13798","I区　Ⅺa層上面"
"GaK-13799","E区　Ⅹa層"
"GaK-13800","Ⅶ層"
"GaK-13801","G区　Ⅱ層中"
"GaK-13802","G区　Ⅳa層中"
"GaK-13803","C区　SX924"
"GaK-13804","E区　Ⅹ層"
"Gak-13805","第5層"
"GaK-13805","縄文時代中期分析試料採取層準"
"Gak-13807","第4層"
"GaK-13807","縄文時代中期分析試料採取層準"
"Gak-13808","第4層"
"GaK-13808","縄文時代中期分析試料採取層準"
"Gak-13809","第6層"
"GaK-13809","不明"
"Gak-13810","第9層"
"GaK-13810","テフラ降灰層準"
"Gak-13811","第8層"
"GaK-13811","不明"
"GaK-13812","弥生時代中期分析試料採取層準"
"GaK-13815","古墳時代分析試料採取層準"
"GaK-13816","不明"
"GaK-13817","弥生時代中期分析試料採取層準"
"GaK-13818","弥生時代後期分析試料採取層準"
"GaK-13819","不明"
"GaK-13820","奈良時代分析試料採取層準"
"GaK-13821","不明"
"Gak-13822","61E"
"Gak-13823","61E"
"Gak-13824","61E"
"Gak-13825","61E"
"Gak-13826","61E SD30上層"
"Gak-13874","T地点　深度165-170cm"
"GaK-13890","2C-65グリッドD地区南壁"
"GaK-13891","2C-65グリッドD地区南壁"
"GaK-13892","2C-65グリッドD地区南壁"
"GaK-13893","2C-65グリッドD地区南壁"
"Gak-13917","第1号溝Bの2層"
"Gak-13949","C区1号住居跡"
"Gak-13950","A区1号住居跡"
"Gak-13951","D区1号住居跡"
"Gak-13952","B区4号住居跡"
"Gak-13953","B区1号住居跡"
"Gak-13954","A区6号住居跡"
"Gak-13975","9B層上部"
"Gak-13976","10層最下部"
"Gak-13977","12層最下部"
"Gak-13978","12層最下部"
"Gak-13979","14層最下部"
"Gak-13984","第Ⅳ層"
"Gak-13985","第Ⅴ層"
"Gak-13986","第Ⅵ層"
"Gak-13987","第Ⅵ層　ケ-12"
"Gak-13988","カC-78"
"Gak-13993","SDⅩⅢ･ⅩⅣ"
"Gak-13994","SDⅩⅢ･ⅩⅣ"
"Gak-13995","63A2区　SX01西壁"
"Gak-13996","63A1区　旧河道(谷A)西壁"
"Gak-13997","63A1区　旧河道(谷A)西壁"
"Gak-13999","63A1区　旧河道(谷A)西壁"
"Gak-14000","63A1区　旧河道(谷A)西壁"
"Gak-14001","63A1区　旧河道(谷A)西壁"
"Gak-14002","63A1区　旧河道(谷A)西壁"
"Gak-14003","63A1区　旧河道(谷A)西壁"
"Gak-14004","63A1区　旧河道(谷A)西壁"
"Gak-14005","63A1区　旧河道(谷A)西壁"
"GaK-14010","31号土坑　覆土2中央部"
"GaK-14011","30号土坑　底部十字形堀込部　覆土2"
"GaK-14012","35号土坑　土坑内北東部分"
"Gak-14022","TP2地点　Ⅱa層中位よりやや上位"
"Gak-14042","炭窯"
"Gak-14043","炭窯"
"Gak-14044","87-B号炭窯"
"Gak-14045","87-B号炭窯"
"Gak-14046","炭窯"
"Gak-14047","炭窯"
"Gak-14048","87-2号炭窯"
"Gak-14049","87-10号炭窯"
"Gak-14050","87-7号炭窯"
"Gak-14051","87-14号炭窯"
"Gak-14077","1号住居址　住居址中央覆土土層断面④層最下部、床面直上"
"Gak-14078","2号住居址　炉覆土　上部"
"Gak-14079","2号住居址　炉覆土　下部"
"Gak-14080","周溝断面C　1号方形周溝墓　最上層1層"
"Gak-14081","周溝断面C　1号方形周溝墓　底部付近3層"
"GaK-14109","8b層下部"
"GaK-14110","8b層下部"
"GaK-14111","80層中部スコリア質火山灰直下ｄ"
"GaK-14112a","8a層中部"
"GaK-14112b","8a層中部"
"GaK-14113","8b層中部"
"GaK-14149","P-11グリッド　腐植層"
"GaK-14150","11号住居址"
"GaK-14151","ラグーンを形成する黒色砂層中"
"GaK-14152","1号住居址　床面"
"GaK-14153","C地区縄文時代後期遺物包含層の下位約1.5m　青灰色粘質土層中　流木"
"GaK-14154","C地区縄文時代後期遺物包含層の下位約1.5m　青灰色粘質土層中　流木"
"GaK-14155","C地区縄文時代後期遺物包含層の下位約1.5m　青灰色粘質土層中　流木"
"GaK-14159","SK38"
"GaK-14160","SI11"
"GaK-14161","SK13"
"GaK-14162","KI85Ⅱ"
"GaK-14164","DII"
"GaK-14167","第4号土坑 -150cm"
"GaK-14168","第9号土坑 -220cm"
"Gak-14184","SR03"
"Gak-14185","SK22"
"Gak-14186","SK86"
"GaK-14186","SI12　複式炉, SI04　複式炉"
"GaK-14187","SI13　床面"
"GaK-14188","SI103　床面"
"GaK-14189","SS01　炉内"
"GaK-14193","深沢地区　-3.2M　④層下部"
"GaK-14194","深沢地区　-0.72M　④層上部"
"GaK-14195","深沢地区　-1.4M　④層下部"
"Gak-14200","Ⅱ区　1号住居"
"Gak-14201","Ⅱ区　6号住居"
"GaK-14212","SJ01"
"GaK-14213","SJ05d"
"GaK-14214","SJ05f"
"GaK-14215","SJ07"
"GaK-14216","SJ20"
"Gak-14236","No.1"
"Gak-14241","No.2"
"Gak-14253","第1地点(A区)　Ⅰ区砂層中"
"GaK-14267","深掘地点"
"GaK-14268","深掘地点"
"Gak-14272","Ⅳ層　調査区壁面"
"Gak-14273","Ⅳ層　調査区壁面"
"Gak-14274","A地点 第405号住居跡"
"Gak-14275","A地点 第383号住居跡"
"Gak-14276","第383号住居跡　土坑 W-7"
"Gak-14281","C層最上部"
"Gak-14319","15T　Ⅳb層"
"Gak-14321","17T　Ⅶ層"
"Gak-14322","21T　Ⅸ層"
"GaK-14339","G-2〜3　大溝天端"
"GaK-14340","大溝内　下層"
"GaK-14341","G-2①　SX-12 木組　大溝中〜下層"
"GaK-14342","A-Ⅲ区　10G　SB-200 P1　第Ⅳ層"
"GaK-14343","A-Ⅲ区　10G　SB-200 P3　第Ⅳ層"
"Gak-14349","不明"
"Gak-14350","不明"
"Gak-14374","Ⅱ区ⅩⅢ層　2号丸木舟"
"GaK-14383","1号住"
"GaK-14384","2号住"
"GaK-14386","4号住"
"GaK-14387","5号住B地点"
"GaK-14389","D-13 FP-3"
"GaK-14429","T-5-17 V-7"
"GaK-14431","V-7 7-1層"
"GaK-14433","7-2層"
"Gak-14434","1区東壁"
"Gak-14435","1区東壁"
"Gak-14436","1区東壁"
"Gak-14437","1区東壁"
"Gak-14438","1区東壁"
"GaK-14450","第6地点"
"GaK-14534","2号住"
"GaK-14535","4号住"
"GaK-14553","SI60　床面直上"
"GaK-14554","SI61　床面直上"
"GaK-14555","溝"
"GaK-14556","溝"
"GaK-14557","1号住居跡"
"GaK-14558","3号住居跡"
"GaK-14559","3号住居跡"
"GaK-14560","2号住居跡"
"GaK-14561","2号住居跡"
"GaK-14570","E地点　第Ⅳa層(第2泥炭層)"
"GaK-14607","SI01 Pit3"
"GaK-14608","SI02　第2土器埋設炉"
"Gak-14750","89B"
"Gak-14751","89B"
"Gak-14752","89B"
"Gak-14753","89B"
"GaK-14758","Ⅱ層最下部"
"GaK-14767","1S-1住居跡　埋土下部, 不明"
"GaK-14770","ST201"
"GaK-14771","SI220"
"GaK-14772","SI146"
"GaK-14818","ボーリング試料Ho-3-1 -185〜195cm"
"GaK-14819","ボーリング試料Ho-3-1 -315〜325cm"
"GaK-14820","ボーリング試料Ho-3-1 -345〜355cm"
"Gak-14881","旧河川跡SX01　AS-B直下黒褐色泥炭質粘土"
"Gak-14882","旧河川跡SX01"
"Gak-14883","旧河川跡SX01"
"Gak-14884","第1号溝跡　遺構覆土中"
"Gak-14885","第1号溝跡　遺構覆土中"
"Gak-14886","第3号溝跡　遺構覆土中"
"Gak-14892","7層　黒色泥炭質シルト"
"Gak-14893","9層　黒色泥炭質シルト"
"Gak-14894","13層　黒灰色砂混じりシルト"
"Gak-14895","22層　黒灰色シルト"
"Gak-14896","旧河道内灰色砂層下部"
"Gak-14897","旧河道内灰色砂層下部"
"Gak-14898","旧自然流水路壁の黒色泥炭層上部"
"Gak-14900","方形周溝墓の材"
"Gak-14901","方形周溝墓の材"
"Gak-14902","旧自然流水路内"
"Gak-14903","旧自然流水路内"
"Gak-14904","旧自然流水路内"
"Gak-14970","第1地点⑯層最下部"
"Gak-14971","第2地点⑫層最下部から⑬層"
"Gak-14972","第②地点⑮層"
"GaK-14983","7丁目7番第3地点　3号井戸　井戸枠材"
"GaK-14984","Ck-28グリッド5層上部"
"GaK-15031","黒色泥炭層基底部5cm"
"Gak-15032","貯蔵穴　TOT.Ⅱ　SK8922　コモ下"
"GaK-15051","地表より0.85m"
"GaK-15052","地表より1.35m"
"GaK-15053","地表より1.65m"
"GaK-15054","地表より1.95m"
"GaK-15055","地表より2.26m"
"Gak-15057","折戸地区の南面に当たる東西セクション　8層最下部"
"Gak-15059","折戸地区の南面に当たる東西セクション　7層最上部"
"Gak-15081","兎田地区　-2.20m　H05グリッドⅣ層上面"
"Gak-15093","不明"
"Gak-15094","不明"
"Gak-15095","不明"
"Gak-15096","33住"
"Gak-15097","40住　P3"
"Gak-15098","14住"
"Gak-15099","15住　D-2"
"Gak-15101","8住　炉内"
"Gak-15102","16号集石C-6"
"Gak-15106","万所内山地区　13号土坑3層"
"GaK-15107","6L-1住柱穴状pit内"
"GaK-15126","SK23"
"GaK-15127","SK01"
"Gak-15139","10号竪穴状遺構　下位焼土層　南北ベルト3d層"
"Gak-15140","A1層上部"
"Gak-15141","IT-2直上"
"Gak-15142","IT-3とIT-4の間"
"Gak-15143","IT-5直上"
"Gak-15144","IT-5直下"
"Gak-15145","D層下部"
"Gak-15146","F層中部"
"Gak-15147","F層上部"
"GaK-15152","B地点　No.3　17.2m"
"GaK-15157","№410　炭-14"
"GaK-15158","№416　炭-20"
"GaK-15159","№428　炭-32"
"GaK-15198","Em層"
"GaK-15201","Eu層, Em層下部"
"GaK-15202","Em層上部"
"GaK-15204","C層上部"
"GaK-15205","Dm層"
"GaK-15206","Dl層上部"
"GaK-15207","Dl層中部"
"GaK-15208","Eu層"
"GaK-15211","Dl層"
"GaK-15212","Dl層"
"GaK-15235","環濠外南側尾根上　狼煙台覆土中"
"GaK-15260","1号住居"
"GaK-15261","4号住居"
"Gak-15267","48H　覆土"
"Gak-15268","85H　床面"
"Gak-15269","56H　床面"
"Gak-15270","348H　床面"
"Gak-15271","216H　覆土"
"GaK-15293","畔直下(竹)　田面"
"GaK-15294","畔上の草"
"GaK-15295","1004区　1地点"
"GaK-15296","1004区　1地点"
"GaK-15297","1004区　2地点"
"GaK-15300","1003区　1地点"
"Gak-15318","第2地点　深度35cm"
"Gak-15319","第2地点　深95cm"
"GaK-15321","SK215　埋土"
"Gak-15360","1/2区　第4地点　FⅢ-1層"
"Gak-15361","6/7区　第1地点　FⅠ-1層"
"GaK-15379","2区　SK-212"
"GaK-15381","2区　SK-50"
"GaK-15382","4区　SK-421"
"Gak-15393","-60cm"
"Gak-15394","-60cm"
"Gak-15396","第1号住居跡　床面"
"Gak-15397","第4号住居跡"
"GaK-15435","テフラ降灰層準直下"
"GaK-15436","縄文時代晩期分析試料採取層準"
"GaK-15437","縄文時代晩期分析試料採取層準"
"GaK-15438","不明"
"GaK-15503","D区　1号井戸　"
"GaK-15504","C区　1号井戸"
"GaK-15505","C区　2号溝"
"GaK-15506","B区　2号井戸"
"Gak-15532","J40②住居跡ピット"
"Gak-15533","CⅣd5土坑　-230cm"
"Gak-15534","CⅣf7②土坑　-210cm"
"Gak-15535","DⅤa3①土坑　-190cm"
"Gak-15536","CⅤi2②土坑　-200cm"
"Gak-15537","CⅤj8④土坑　-220cm"
"Gak-15545","H3-1住　中央部pit内"
"Gak-15546","G3-m住　No.12"
"Gak-15547","F3-u住　北カマド内"
"Gak-15548","F3-u住　No.15"
"Gak-15549","H3-i住　No.6"
"Gak-15550","H2-m住　No.1"
"Gak-15551","J3-y住　No.4"
"GaK-15575","松戸市　国分谷　地点h砂層中　Ⅲ層下限付近"
"GaK-15576","松戸市　国分谷　地点n"
"GaK-15577","4区　D-20　Pit1"
"GaK-15578","4区　E-19　Pit5"
"GaK-15579","4区　B-16　Pit28"
