"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"Beta-103885","SE-201、曲物"
"beta-103987","KN47 SK507"
"beta-103989","SI31"
"beta-103990","SK273"
"beta-103991","SK478　6層"
"beta-103992","SK275　埋土"
"beta-103993","SK514　KL46　中〜下層"
"beta-103994","SK400 NC400"
"beta-103995","SK469"
"beta-103996","SK508"
"beta-103997","SK282,283"
"Beta-104019","試料名:№1　3区1号土壙墓"
"Beta-104020","試料名:№2　8区B･C4･5炭集中部"
"Beta-104021","試料名:№3　8区1号木棺墓"
"Beta-104022","試料名:№4　8区M･N6･7　1号焼土"
"Beta-104023","試料名:№1　水路内部"
"Beta-104038","9号土坑A"
"Beta-104039","9号土坑B"
"Beta-104040","18号土坑"
"Beta-104041","29号土坑A"
"Beta-104042","29号土坑B"
"Beta-104043","30号土坑E"
"Beta-104044","30号土坑I"
"Beta-104045","143柱"
"Beta-104046","1号木枠遺構"
"Beta-104047","1号木枠遺構"
"Beta-104048","1号木枠遺構"
"Beta-104049","2号木枠遺構"
"Beta-104050","2号木枠遺構"
"Beta-104051","2号木枠遺構"
"Beta-104052","Ⅱ17層"
"Beta-104085","第1号土坑"
"Beta-104717","SI102竪穴遺構　床面"
"Beta-104718","SI102竪穴遺構　床面"
"Beta-105044","A地点土坑1"
"Beta-105045","試料名:№1　B-1区　H-5グリッド　SZ-1内"
"Beta-105046","試料名:№2　B-1区　H-5グリッド　礫群直下"
"Beta-105047","試料名:№3　B-1区　H-5グリッド　遺構検出面"
"Beta-105078","試料名:№1　C7区,5b層　"
"Beta-105080","SC3　床面直上"
"Beta-105380","試料名:№2　Ⅵb層"
"Beta-105381","試料名:№3　Ⅶa層"
